artists,genres
Adam Holmes,[]
Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']"
Adam Johnson,['british classical piano']
Adam K,['canadian electronic']
Adam K & Soha,['canadian electronic']
Adam Kantor,[]
Adam Lambert,"['dance pop', 'electropop', 'idol', 'pop', 'post-teen pop']"
Adam Levine,['pop rock']
Adam Mansell,['polish techno']
Adam Navel,[]
Adam Nickey,"['progressive house', 'trance', 'uplifting trance']"
Adam Pascal,"['broadway', 'hollywood', 'show tunes']"
Adam Port,['deep disco house']
Adam Sandler,"['comedy', 'comic']"
Adam Szabo,['progressive uplifting trance']
Adam Taylor,[]
Adam White,[]
Adamski,"['acid house', 'hardcore techno', 'hip house']"
Adan Chalino Sanchez,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']"
Adan Romero,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']"
Adara,['indie electropop']
Add2Basket,[]
AddieMak,[]
Adelaide Van Wey,['american folk revival']
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
Adele Kern,[]
Adelina Fernandes,[]
Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
Ademi Studio,[]
Adhir Bagchi,[]
Adiemus,['new age']
ADIN,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
Adina Butar,['vocal trance']
Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
Adinath Mangeshkar,[]
Adison Rose Schlauder,[]
Adma Music Friends,[]
Adnia Rice,[]
Adolescent's Orquesta,"['latin', 'salsa', 'salsa venezolana', 'tropical']"
Adolescents,"['latin', 'salsa', 'salsa venezolana', 'tropical']"
Adolf Busch,[]
Adolf Dallapozza,['classical tenor']
Adolf Stark and Aino Karelia,[]
Adolfo Berón,['guitarra argentina']
Adolfo Echeverria,[]
Adolfo Tango,[]
Adolph Baller,[]
Adolph Deutsch,['classic soundtrack']
Adolph Green,[]
Adolphe Adam,"['early romantic era', 'french opera', 'french romanticism']"
Adolphe Bérard,[]
Adrenalize,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']"
Adrian Charras,[]
Adrian Delgado,[]
Adrian Glynn,[]
Adrian Gurvitz,['yacht rock']
Adrian Leaper,[]
Adrian Marcel,['pop r&b']
Adrián Patiño,['latin classical']
Adrian Washburn,[]
Adrian Zmed,[]
Adriana Caselotti,['movie tunes']
Adriana Chamorro,[]
Adriana Lazzarini,['italian mezzo-soprano']
Adriana Proenza,['spanish indie pop']
Adrianna Caselotti,[]
Adrianne Pieczonka,['classical soprano']
Adriano Banchieri,"['early music', 'madrigal', 'renaissance']"
Adriano Celentano,"['classic italian pop', 'italian adult pop']"
Adrienne Albert,['american contemporary classical']
Adrijana Alacki,[]
Adrina Thorpe,[]
Adventum,['xtra raw']
Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
Adventure Time,['indie pop']
Ae Jirakorn,['thai pop']
Aeden,"['dutch edm', 'gaming edm', 'pop edm']"
Aegis,"['classic opm', 'opm']"
Aer,"['album rock', 'classic rock', 'hard rock', 'rock']"
Aero Chord,"['bass trap', 'edm', 'gaming edm', 'traprun']"
Aerodroemme,['deep techno']
Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']"
Aerospace,[]
Aesis Alien,[]
Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop']"
aespa,[]
Aether,"['chillstep', 'future bass', 'vapor twitch', 'wave']"
aether,"['chillstep', 'future bass', 'vapor twitch', 'wave']"
Afex,[]
AFFly,[]
AFI,"['emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
Afife Hanım,[]
Afric Simone,[]
African Doctor,[]
Afrika 70,[]
Afrika Bambaataa,"['bronx hip hop', 'east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop']"
Afro-Cuban All Stars,"['latin jazz', 'musica tradicional cubana']"
Afroboogie,[]
Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']"
